label,content,content_de
fear,"It was dreadful to hear all that, for the preacher spoke from his heart, and all the people in the church were terrified.","Es war schrecklich, das alles zu hören, denn der Prediger sprach aus seinem Herzen, und alle Leute in der Kirche waren erschrocken."
fear,"The pastor's hand trembled; he dared not stretch it out, he did not venture to pull a hair out of the sinner's head.","Die Hand des Pfarrers zitterte; er wagte es nicht, es auszudehnen, er wagte es nicht, dem Sünder ein Haar aus dem Kopf zu ziehen."
joy,"Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming.","Herr Alfred sprach wieder von Italien und von den herrlichen Farben in der italienischen Landschaft; die violetten Hügel, das tiefe Blau des Mittelmeers, das Azurblau des südlichen Himmels, dessen Helligkeit und Herrlichkeit im Norden nur von den tiefblauen Augen einer Jungfrau übertroffen werden konnte; und er sagte dies mit einem eigentümlichen Tonfall; aber sie, die seine Bedeutung hätte verstehen müssen, sah ganz unbewusst aus, was ebenfalls reizend war."
joy,"The young man felt the truth of the proverb, ""Still waters run deep:"" and his heart had sunk into their depths.",Der junge Mann spürte die Wahrheit des Sprichworts „Stille Wasser sind tief“ und sein Herz war in ihre Tiefen gesunken.
surprise,"""Good heavens!"" she exclaimed.","""Du lieber Himmel!"" rief sie aus."
surprise,"He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, ""What, did you see it throw up white fire?""","Er legte eine Bleistiftskizze auf den Tisch; und Mama, die vom Erscheinen der farbigen Tafeln überwältigt gewesen war, warf einen Blick auf die blasse Zeichnung und rief erstaunt: ""Was, hast du gesehen, wie es weißes Feuer spuckte?"""
joy,"The betrothed pair were very happy, and the mother was happy too.","Das Brautpaar war sehr glücklich, und die Mutter war auch glücklich."
sadness,"Alfred wept, and mamma wept, and they both wore mourning.","Alfred weinte, und Mama weinte, und beide trugen Trauerkleider."
sadness,"She had also to experience another grief in seeing Alfred marry again, marry Sophy, who was nothing at all to look at.","Sie musste auch einen weiteren Kummer erleben, als sie Alfred wieder heiraten sah, Sophy heiraten, die überhaupt nichts Anzusehen war."
joy,"""'Pygmalion loved his Galatea,' was in the song they sung at my first wedding,"" said Alfred; ""I once fell in love with a beautiful statue, which awoke to life in my arms; but the kindred soul, which is a gift from heaven, the angel who can feel and sympathize with and elevate us, I have not found and won till now.","""'Pygmalion liebte seine Galatea' stand in dem Lied, das sie bei meiner ersten Hochzeit sangen"", sagte Alfred; „Ich habe mich einmal in eine schöne Statue verliebt, die in meinen Armen zum Leben erwachte; aber die verwandte Seele, die ein Geschenk des Himmels ist, der Engel, der uns fühlen und mitfühlen und erheben kann, habe ich bis jetzt nicht gefunden und gewonnen jetzt."
surprise,"""Understand!","""Verstehe!"
joy,"""How beautiful this world is!"" said the caterpillar.","""Wie schön ist diese Welt!"" sagte die Raupe."
joy,"""The sun is so warm, I quite enjoy it.","„Die Sonne ist so warm, ich genieße es sehr."
joy,"""Wonderful weather this,"" cried one of them, ""and so refreshing.","„Wunderbares Wetter heute“, rief einer von ihnen, „und so erfrischend."
joy,"What happiness for a mother!""","Was für ein Glück für eine Mutter!"""
joy,"How charming this is for a mother, is it not Mr. Beetle?"" for she knew the stranger by his horny coat.","Wie reizend ist das für eine Mutter, ist das nicht Herr Käfer?“ Denn sie erkannte den Fremden an seinem geilen Fell."
joy,"""Certainly,"" said the beetle, ""I shall be most happy; I have been exposed to the rain, and have had to lie upon linen, and cleanliness is a thing that greatly exhausts me; I have also pains in one of my wings from standing in the draught under a piece of broken crockery.","„Gewiss“, sagte der Käfer, „ich werde sehr glücklich sein; ich war dem Regen ausgesetzt und musste auf Leinen liegen, und Sauberkeit ist etwas, was mich sehr erschöpft; ich habe auch Schmerzen in einem meiner Flügel nicht im Durchzug unter einem zerbrochenen Geschirr stehen."
joy,"The mother gave them her blessing, and all the other beetles cried ""hurrah.""","Die Mutter gab ihnen ihren Segen, und alle anderen Käfer riefen ""Hurra""."
joy,"""What a wonderful quantity of plants,"" cried the beetle; ""how good they will taste when they are decayed!","""Was für eine wunderbare Menge Pflanzen,"" rief der Käfer; „Wie gut werden sie schmecken, wenn sie verfault sind!"
joy,"""Oh, what a splendour!""","""Oh, was für eine Pracht!"""
joy,"And they ran towards each other and took one another's hand, in the great cathedral of nature and poesy, and above them sounded the invisible holy bell; happy spirits surrounded them, singing hallelujahs and rejoicing.","Und sie liefen aufeinander zu und faßten sich an der Hand in der großen Kathedrale der Natur und Poesie, und über ihnen klang die unsichtbare heilige Glocke; Fröhliche Geister umgaben sie, sangen Hallelujah und jubelten."
joy,"He seized her hand, he embraced her, and the mother wept.","Er ergriff ihre Hand, er umarmte sie, und die Mutter weinte."
joy,"""Safe return, and a wedding this day next year,"" he cried; and when the glasses were empty he took the bottle, raised it on high, and said, ""Thou hast been present here on the happiest day of my life; thou shalt never be used by others!""","""Sichere Rückkehr und eine Hochzeit an diesem Tag im nächsten Jahr"", rief er; und als die Gläser leer waren, nahm er die Flasche, hob sie hoch und sagte: ""Du warst hier am glücklichsten Tag meines Lebens; du sollst niemals von anderen benutzt werden!"""
joy,"Those were happy days, and the bottle would sing when rubbed with a cork, and it was called a great lark,"" ""Peter Jensen's lark.""","Das waren glückliche Tage, und die Flasche sang, wenn man sie mit einem Korken rieb, und man nannte sie eine große Lerche“, „Peter Jensens Lerche.“"
joy,"For very joy, it felt ready to jump out of people's hands, and scarcely noticed that its cork had been drawn, and its contents emptied out, till it found itself carried to a cellar, to be left there and forgotten.","Vor lauter Freude fühlte es sich bereit, den Leuten aus den Händen zu springen, und bemerkte kaum, dass sein Korken gezogen und sein Inhalt geleert worden war, bis es sich in einen Keller getragen fand, um dort zurückgelassen und vergessen zu werden."
joy,"""There's no place like home, even if it's a cellar.""","""Es gibt keinen Ort wie zu Hause, selbst wenn es ein Keller ist."""
joy,"The rabbit was quite excited because he knew that he was to be taken up, and let down again in a parachute.","Der Hase war ganz aufgeregt, weil er wusste, dass er hochgehoben und mit einem Fallschirm wieder heruntergelassen werden würde."
joy,"Then they hung it in the cage of the little bird, who sang and twittered more merrily than ever.","Dann hängten sie es in den Käfig des kleinen Vogels, der fröhlicher denn je sang und zwitscherte."
fear,"""Bend your head as we do,"" cried the ears of corn; ""the angel of the storm is coming; his wings spread from the sky above to the earth beneath.","„Neige deinen Kopf wie wir,“ riefen die Ähren; „Der Engel des Sturms kommt; seine Flügel breiten sich vom Himmel oben bis zur Erde unten aus."
fear,"He will strike you down before you can cry for mercy.""","Er wird dich niederschlagen, bevor du um Gnade schreien kannst."""
sadness,"The branches of the old willow-tree rustled in the wind, and large water-drops fell from his green leaves as if the old willow were weeping.","Die Zweige der alten Weide raschelten im Wind, und große Wassertropfen fielen von seinen grünen Blättern, als würde die alte Weide weinen."
joy,"The pea-blossom pleased him most of all; she was white and red, graceful and slender, and belonged to those domestic maidens who have a pretty appearance, and can yet be useful in the kitchen.","Die Erbsenblüte gefiel ihm am meisten; sie war weiß und rot, anmutig und schlank und gehörte zu jenen Hausfrauen, die ein hübsches Aussehen haben und doch in der Küche nützlich sein können."
surprise,"""Oh, indeed; and you will be like her some day,"" said he; and he flew away directly, for he felt quite shocked.","""Oh, tatsächlich; und Sie werden eines Tages wie sie sein,"" sagte er; und er flog direkt davon, denn er war ganz erschrocken."
joy,"""I will take her,"" said the butterfly; and he made her an offer.","„Ich werde sie nehmen,“ sagte der Schmetterling; und er machte ihr ein angebot."
sadness,"""It is not very pleasant, certainly; I should imagine it is something like being married; for here I am stuck fast.""","""Es ist sicherlich nicht sehr angenehm; ich sollte mir vorstellen, dass es so etwas wie eine Ehe ist; denn hier stecke ich fest."""
surprise,As if these things were of any consequence!,Als ob diese Dinge von Bedeutung wären!
surprise,"Who would trouble themselves about such trifles? especially at a comedy, where every one is expected to be amused.","Wer würde sich um solche Kleinigkeiten kümmern? besonders bei einer Komödie, wo jeder amüsiert sein soll."
sadness,"The sisters mourned as young hearts can mourn, and were especially grieved at the sight of their parents' sorrow.","Die Schwestern trauerten, wie junge Herzen trauern können, und waren besonders betrübt über den Kummer ihrer Eltern."
sadness,"The father's heart was bowed down, but the mother sunk completely under the deep grief.","Das Herz des Vaters war niedergeschlagen, aber die Mutter versank völlig unter der tiefen Trauer."
sadness,"She thought God could not take her darling little one from her; and when it did happen notwithstanding her hopes and her belief, and there could be no more doubt on the subject, she said in her feverish agony, ""God does not know it.","Sie dachte, Gott könne ihr ihren kleinen Liebling nicht nehmen; und als es trotz ihrer Hoffnungen und ihres Glaubens geschah und es darüber keinen Zweifel mehr geben konnte, sagte sie in ihrer fieberhaften Agonie: „Gott weiß es nicht."
sadness,"But these doubts were no support to her, nothing on which she could rest, and she sunk into the fathomless depths of despair.","Aber diese Zweifel waren ihr kein Halt, nichts, worauf sie sich ausruhen konnte, und sie versank in unergründlichen Tiefen der Verzweiflung."
sadness,"The tears of her husband fell on her forehead, but she took no notice of him; her thoughts were with her dead child; her whole existence seemed wrapped up in the remembrances of the little one and of every innocent word it had uttered.","Die Tränen ihres Mannes fielen auf ihre Stirn, aber sie beachtete ihn nicht; ihre Gedanken waren bei ihrem toten Kind; ihre ganze Existenz schien eingehüllt in die Erinnerungen an die Kleine und an jedes unschuldige Wort, das sie geäußert hatte."
sadness,"When she awoke, and wanted to see her child, the husband, with tears, said, ""We have closed the coffin; it was necessary to do so.""","Als sie erwachte und ihr Kind sehen wollte, sagte der Mann unter Tränen: „Wir haben den Sarg geschlossen, das war nötig.“"
sadness,"""When God is so hard to me, how can I expect men to be better?"" she said with groans and tears.","""Wenn Gott so hart zu mir ist, wie kann ich dann erwarten, dass Männer besser sind?"" sagte sie mit Stöhnen und Tränen."
sadness,"With tearful eyes and mournful glances, the sorrowing daughters and the afflicted husband looked upon her who would not hear their words of comfort; and, indeed, what comforting words could they speak, when they were themselves so full of grief?","Mit Tränen in den Augen und traurigen Blicken blickten die trauernden Töchter und der betrübte Ehemann auf sie, die ihre tröstenden Worte nicht hören wollte; und in der Tat, welche tröstenden Worte könnten sie sprechen, wenn sie selbst so voller Kummer waren?"
sadness,"As she had sat by his little cot, so now she sat by his grave; and here she could weep freely, and her tears fell upon it.","Wie sie an seiner kleinen Pritsche gesessen hatte, so saß sie jetzt an seinem Grab; und hier konnte sie frei weinen, und ihre Tränen fielen darauf."
joy,"How rich I am!""","Wie reich bin ich!"""
joy,Its joy was so great that it did not know what to think.,"Seine Freude war so groß, dass es nicht wusste, was es denken sollte."
joy,"The little bird hopped round it and sang, ""How beautifully soft the grass is, and what a lovely little flower with its golden heart and silver dress is growing here.""","Das Vöglein hüpfte darum herum und sang: ""Wie schön weich ist das Gras, und was für ein liebliches Blümchen wächst hier mit goldenem Herzen und silbernem Kleid."""
joy,How happy the daisy was!,Wie glücklich war das Gänseblümchen!
surprise,"""Ugh!"" sighed the daisy, ""that is terrible; now they are done for.""","""Pfui!"" seufzte das Gänseblümchen, ""das ist schrecklich, jetzt sind sie erledigt."""
sadness,"Indeed the poor bird had good reason to be sad, for it had been caught and put into a cage close by the open window.","Tatsächlich hatte der arme Vogel guten Grund, traurig zu sein, denn er war eingefangen und in einen Käfig dicht am offenen Fenster gesteckt worden."
sadness,The poor lark was most unhappy as a prisoner in a cage.,Die arme Lerche war als Gefangene in einem Käfig am unglücklichsten.
sadness,"The poor bird was lamenting its lost liberty, and beating its wings against the wires; and the little daisy could not speak or utter a consoling word, much as it would have liked to do so.","Der arme Vogel beklagte seine verlorene Freiheit und schlug mit den Flügeln gegen die Drähte; und das kleine Gänseblümchen konnte nicht sprechen oder ein tröstendes Wort sagen, so sehr es es gerne getan hätte."
sadness,"Alas! you only remind me of what I have lost.""","Ach! du erinnerst mich nur an das, was ich verloren habe."""
sadness,"The evening came, and nobody appeared to bring the poor bird a drop of water; it opened its beautiful wings, and fluttered about in its anguish; a faint and mournful ""Tweet, tweet,"" was all it could utter, then it bent its little head towards the flower, and its heart broke for want and longing.","Der Abend kam, und niemand erschien, um dem armen Vogel einen Tropfen Wasser zu bringen; es öffnete seine schönen Flügel und flatterte in seiner Angst umher; ein schwaches und trauriges „Tweet, tweet“ war alles, was es hervorbringen konnte, dann neigte es sein Köpfchen zu der Blume, und sein Herz brach vor Mangel und Sehnsucht."
sadness,"The flower could not, as on the previous evening, fold up its petals and sleep; it dropped sorrowfully.",Die Blume konnte nicht wie am Vorabend ihre Blütenblätter zusammenfalten und schlafen; es fiel traurig.
sadness,"The boys only came the next morning; when they saw the dead bird, they began to cry bitterly, dug a nice grave for it, and adorned it with flowers.","Die Jungs kamen erst am nächsten Morgen; Als sie den toten Vogel sahen, begannen sie bitterlich zu weinen, gruben ihm ein schönes Grab und schmückten es mit Blumen."
joy,"And there she sat as proudly as if she were in a state coach, and looked all around her.",Und da saß sie so stolz wie in einer Staatskutsche und sah sich um.
sadness,"Had I still my old eye, which was broken off, I believe I should weep; but no, I would not do that, it is not genteel to cry.""","Hätte ich noch mein altes Auge, das abgebrochen war, ich glaube, ich würde weinen; aber nein, das würde ich nicht tun, es ist nicht vornehm zu weinen."""
surprise,"""Good heavens, how it crushes!"" said the darning-needle.","""Du lieber Himmel, wie es zermalmt!"" sagte die Stopfnadel."
joy,"""Thus the small service done to the old man was richly rewarded!"" said Meta Mogen.","""So wurde der kleine Dienst, der dem alten Mann geleistet wurde, reich belohnt!"" sagte Meta Mogen."
joy,"In the garden grow roses; the mistress of the house is herself the finest rose petal, she beams with joy, the joy of good deeds: however, not done in the wide world, but in her heart, and what is preserved there is not forgotten.","Im Garten wachsen Rosen; die Herrin des Hauses ist selbst das schönste Rosenblatt, sie strahlt vor Freude, der Freude an guten Taten: aber nicht in der weiten Welt getan, sondern in ihrem Herzen, und was dort bewahrt wird, wird nicht vergessen."
joy,"The paralysed girl sits in the warm sunshine and can see the wood and the lake; the world had become so large, so beautiful, and only through a single word from the kind mistress of the mansion.","Das gelähmte Mädchen sitzt in der warmen Sonne und kann den Wald und den See sehen; die Welt war so groß, so schön geworden, und das nur durch ein einziges Wort der gütigen Hausherrin."
joy,"""The word was so easy, the deed so small,"" she said, ""the joy it afforded me was infinitely great and sweet!""","""Das Wort war so leicht, die Tat so klein"", sagte sie, ""die Freude, die es mir bereitete, war unendlich groß und süß!"""
sadness,"A week has passed; this morning his death was in the newspaper, that is the reason of the girl's mourning!","Eine Woche ist vergangen; heute morgen stand sein tod in der zeitung, das ist der grund der trauer des mädchens!"
sadness,"The black bow signifies mourning, the girl's face points to the same in a still higher degree; it is preserved in the heart and will never be forgotten.","Die schwarze Schleife bedeutet Trauer, das Gesicht des Mädchens weist in noch höherem Maße darauf hin; es ist im Herzen bewahrt und wird nie vergessen werden."
surprise,"""It's a drop of puddle water!"" said Kribble-Krabble.","""Es ist ein Tropfen Pfützenwasser!"" sagte Kribble-Krabble."
surprise,"I declare you have put on your Sunday clothes!""","Ich erkläre, dass Sie Ihre Sonntagskleidung angezogen haben!"""
surprise,"""My word!","""Mein Wort!"
joy,"Here I come!"" shouted Jack the Dullard, and he sang till his voice echoed far and wide.","Hier komme ich!"" rief Jack the Dullard und sang, bis seine Stimme weit und breit widerhallte."
joy,"""Hurrah! it is quite famous.""","""Hurra! Es ist ziemlich berühmt."""
joy,"""Oh,"" said Jack the Dullard, ""I can hardly tell you.","„Oh“, sagte Jack the Dullard, „das kann ich dir kaum sagen."
joy,"""Ah, that's lucky!"" exclaimed Jack the Dullard, ""for I suppose you'll let me roast my crow at the same time?""","""Ah, das ist ein Glück!"" rief Jack the Dullard, ""denn ich nehme an, Sie werden mich gleichzeitig meine Krähe braten lassen?"""
joy,"""With the greatest pleasure,"" said the Princess.","""Mit dem größten Vergnügen"", sagte die Prinzessin."
joy,"""I like that!"" said the Princess.","""Ich mag es!"" sagte die Prinzessin."
joy,"But she only said this to frighten Jack the Dullard; and the clerks gave a great crow of delight, and each one spurted a blot out of his pen on to the floor.","Aber sie sagte das nur, um Jack the Dullard zu erschrecken; und die Angestellten stießen einen großen Freudenschrei aus, und jeder spritzte einen Klecks aus seiner Feder auf den Boden."
sadness,"""They say that he was once an energetic young man, that he studied the dead languages, and sang and even composed many songs; then something had happened to him, and in consequence of this he gave himself up to drink, body and mind.","„Sie sagen, dass er einst ein energischer junger Mann war, dass er die toten Sprachen studierte und viele Lieder sang und sogar komponierte; dann war ihm etwas passiert, und infolgedessen gab er sich dem Alkohol hin, mit Körper und Geist."
sadness,"But when we succeeded in bringing him home, and prevailed upon him to open the book with the dried-up plants in it, he would sometimes sit for a whole day looking at this or that plant, while frequently the tears rolled over his cheeks.","Aber wenn es uns gelang, ihn nach Hause zu bringen und ihn dazu zu bewegen, das Buch mit den vertrockneten Pflanzen darin aufzuschlagen, saß er manchmal einen ganzen Tag lang da und betrachtete diese oder jene Pflanze, während ihm oft die Tränen über die Wangen liefen."
surprise,"""Ho! ho!"" said the old goblin, ""is that what she means?","""Ho! ho!"" sagte der alte Kobold, ""meint sie das?"
joy,"So she took him by the wrist, and he laughed till he nearly choked; and when she came to the fourth finger, there was a gold ring on it, as if it knew there was to be a betrothal.","Also nahm sie ihn am Handgelenk, und er lachte, bis er fast erstickte; und als sie zum vierten Finger kam, war ein goldener Ring daran, als ob er wüsste, dass es eine Verlobung geben würde."
joy,How merry we shall be!,Wie lustig werden wir sein!
joy,"But the lizards continued to run up and down the riven tree; and one said to the other, ""Oh, how much I was pleased with the old goblin!""","Aber die Eidechsen rannten weiter den zerklüfteten Baum auf und ab; und einer sagte zum anderen: ""Oh, wie sehr ich mich über den alten Kobold gefreut habe!"""
sadness,"And then they kissed each other, and the girl wept, and gave him a rose; but before she did so, she pressed a kiss upon it so fervently that the flower opened.","Und dann küssten sie sich, und das Mädchen weinte und gab ihm eine Rose; aber bevor sie das tat, drückte sie einen so inbrünstigen Kuss darauf, dass sich die Blume öffnete."
sadness,"Oh, what bitter tears she shed! and she could not open her heart to any one for relief.","Oh, was für bittere Tränen sie vergoss! und sie konnte niemandem ihr Herz zur Erleichterung öffnen."
sadness,"Oh, how she wept and prayed that she also might die!","Oh, wie sie weinte und betete, dass sie auch sterben möge!"
sadness,"Every morning he flew to the window of the poor girl, and always found her weeping by the flower pot.",Jeden Morgen flog er zum Fenster des armen Mädchens und fand sie immer weinend neben dem Blumentopf.
sadness,"The bitter tears fell upon the jasmine twig, and each day, as she became paler and paler, the sprig appeared to grow greener and fresher.","Die bitteren Tränen fielen auf den Jasminzweig, und jeden Tag, während er blasser und blasser wurde, schien der Zweig grüner und frischer zu werden."
surprise,"""Heaven preserve us!"" he thought, and opened his eyes wide, ""I cannot see anything at all,"" but he did not say so.","""Der Himmel bewahre uns!"" dachte er und öffnete die Augen weit: ""Ich kann überhaupt nichts sehen"", aber er sagte es nicht."
joy,"""We are pleased to hear that,"" said the two weavers, and described to him the colours and explained the curious pattern.","„Das freut uns“, sagten die beiden Weber, beschrieben ihm die Farben und erklärten das merkwürdige Muster."
surprise,"""Good heavens! listen to the voice of an innocent child,"" said the father, and one whispered to the other what the child had said.","""Du lieber Himmel, hör auf die Stimme eines unschuldigen Kindes"", sagte der Vater, und einer flüsterte dem anderen zu, was das Kind gesagt hatte."
sadness,"FAR down in the forest, where the warm sun and the fresh air made a sweet resting-place, grew a pretty little fir-tree; and yet it was not happy, it wished so much to be tall like its companions- the pines and firs which grew around it.","Weit unten im Wald, wo die warme Sonne und die frische Luft einen süßen Rastplatz bildeten, wuchs ein hübsches Tannenbäumchen; und doch war es nicht glücklich, es wünschte so sehr, so groß zu sein wie seine Gefährten – die Kiefern und Tannen, die um es herum wuchsen."
sadness,"As the axe cut through the stem, and divided the pith, the tree fell with a groan to the earth, conscious of pain and faintness, and forgetting all its anticipations of happiness, in sorrow at leaving its home in the forest.","Als die Axt durch den Stamm schnitt und das Mark teilte, fiel der Baum mit einem Stöhnen zu Boden, sich des Schmerzes und der Ohnmacht bewusst und alle seine Vorfreude auf Glück vergessend, in Trauer darüber, seine Heimat im Wald verlassen zu haben."
fear,How the fir-tree trembled!,Wie zitterte die Tanne!
joy,"It trembled so with joy in all its branches, that one of the candles fell among the green leaves and burnt some of them.","Es zitterte so vor Freude in all seinen Zweigen, dass eine der Kerzen zwischen die grünen Blätter fiel und einige von ihnen verbrannte."
surprise,"""Help! help!"" exclaimed the young ladies, but there was no danger, for they quickly extinguished the fire.","""Hilfe Hilfe!"" riefen die jungen Damen aus, aber es bestand keine Gefahr, denn sie löschten schnell das Feuer."
joy,"For a moment the little ones stood silent with astonishment, and then they shouted for joy, till the room rang, and they danced merrily round the tree, while one present after another was taken from it.","Einen Augenblick standen die Kleinen stumm vor Staunen, dann jauchzten sie vor Freude, bis der Raum klingelte und sie lustig um den Baum tanzten, während ihm ein Geschenk nach dem anderen abgenommen wurde."
joy,"And then the tree related the whole story; he could remember every single word, and the little mice was so delighted with it, that they were ready to jump to the top of the tree.","Und dann erzählte der Baum die ganze Geschichte; er konnte sich an jedes einzelne Wort erinnern, und die kleinen Mäuse waren so begeistert davon, dass sie bereit waren, auf die Spitze des Baumes zu springen."
joy,"""Now life is beginning again,"" said the tree, rejoicing in the sunshine and fresh air.","""Jetzt fängt das Leben wieder an"", sagte der Baum und freute sich über die Sonne und die frische Luft."
sadness,"The pieces were placed in a fire under the copper, and they quickly blazed up brightly, while the tree sighed so deeply that each sigh was like a pistol-shot.","Die Stücke wurden in ein Feuer unter dem Kupfer gelegt, und sie loderten schnell hell auf, während der Baum so tief seufzte, dass jeder Seufzer wie ein Pistolenschuss war."
joy,"How fortunate I am; it makes me so happy, it is such a pleasant thing to know that something can be made of me.","Wie glücklich ich bin; es macht mich so glücklich, es ist so schön zu wissen, dass man etwas aus mir machen kann."
joy,"How the sunshine cheers me, and how sweet and refreshing is the rain; my happiness overpowers me, no one in the world can feel happier than I am.""","Wie erfreut mich der Sonnenschein, und wie süß und erfrischend ist der Regen; Mein Glück überwältigt mich, niemand auf der Welt kann sich glücklicher fühlen als ich."""
joy,"I am the happiest of all creatures.""","Ich bin das glücklichste aller Geschöpfe."""
surprise,"Well, one day some people came, who took hold of the flax, and pulled it up by the roots; this was painful; then it was laid in water as if they intended to drown it; and, after that, placed near a fire as if it were to be roasted; all this was very shocking.","Nun, eines Tages kamen einige Leute, die packten den Flachs und rissen ihn an den Wurzeln aus; das war schmerzhaft; dann wurde es in Wasser gelegt, als wollten sie es ertränken; und danach in der Nähe eines Feuers platziert, als ob es geröstet werden sollte; das alles war sehr schockierend."
