label,content
sadness,"""When God is so hard to me, how can I expect men to be better?"" she said with groans and tears."
sadness,"With tearful eyes and mournful glances, the sorrowing daughters and the afflicted husband looked upon her who would not hear their words of comfort; and, indeed, what comforting words could they speak, when they were themselves so full of grief?"
sadness,"As she had sat by his little cot, so now she sat by his grave; and here she could weep freely, and her tears fell upon it."
joy,"How rich I am!"""
joy,Its joy was so great that it did not know what to think.
joy,"The little bird hopped round it and sang, ""How beautifully soft the grass is, and what a lovely little flower with its golden heart and silver dress is growing here."""
joy,How happy the daisy was!
surprise,"""Ugh!"" sighed the daisy, ""that is terrible; now they are done for."""
sadness,"Indeed the poor bird had good reason to be sad, for it had been caught and put into a cage close by the open window."
sadness,The poor lark was most unhappy as a prisoner in a cage.
sadness,"The poor bird was lamenting its lost liberty, and beating its wings against the wires; and the little daisy could not speak or utter a consoling word, much as it would have liked to do so."
sadness,"Alas! you only remind me of what I have lost."""
sadness,"The evening came, and nobody appeared to bring the poor bird a drop of water; it opened its beautiful wings, and fluttered about in its anguish; a faint and mournful ""Tweet, tweet,"" was all it could utter, then it bent its little head towards the flower, and its heart broke for want and longing."
sadness,"The flower could not, as on the previous evening, fold up its petals and sleep; it dropped sorrowfully."
sadness,"The boys only came the next morning; when they saw the dead bird, they began to cry bitterly, dug a nice grave for it, and adorned it with flowers."
joy,"And there she sat as proudly as if she were in a state coach, and looked all around her."
sadness,"Had I still my old eye, which was broken off, I believe I should weep; but no, I would not do that, it is not genteel to cry."""
surprise,"""Good heavens, how it crushes!"" said the darning-needle."
joy,"""Thus the small service done to the old man was richly rewarded!"" said Meta Mogen."
joy,"In the garden grow roses; the mistress of the house is herself the finest rose petal, she beams with joy, the joy of good deeds: however, not done in the wide world, but in her heart, and what is preserved there is not forgotten."
joy,"The paralysed girl sits in the warm sunshine and can see the wood and the lake; the world had become so large, so beautiful, and only through a single word from the kind mistress of the mansion."
joy,"""The word was so easy, the deed so small,"" she said, ""the joy it afforded me was infinitely great and sweet!"""
sadness,"A week has passed; this morning his death was in the newspaper, that is the reason of the girl's mourning!"
sadness,"The black bow signifies mourning, the girl's face points to the same in a still higher degree; it is preserved in the heart and will never be forgotten."
surprise,"""It's a drop of puddle water!"" said Kribble-Krabble."
surprise,"I declare you have put on your Sunday clothes!"""
surprise,"""My word!"
joy,"Here I come!"" shouted Jack the Dullard, and he sang till his voice echoed far and wide."
joy,"""Hurrah! it is quite famous."""
joy,"""Oh,"" said Jack the Dullard, ""I can hardly tell you."
joy,"""Ah, that's lucky!"" exclaimed Jack the Dullard, ""for I suppose you'll let me roast my crow at the same time?"""
joy,"""With the greatest pleasure,"" said the Princess."
joy,"""I like that!"" said the Princess."
joy,"But she only said this to frighten Jack the Dullard; and the clerks gave a great crow of delight, and each one spurted a blot out of his pen on to the floor."
sadness,"""They say that he was once an energetic young man, that he studied the dead languages, and sang and even composed many songs; then something had happened to him, and in consequence of this he gave himself up to drink, body and mind."
sadness,"But when we succeeded in bringing him home, and prevailed upon him to open the book with the dried-up plants in it, he would sometimes sit for a whole day looking at this or that plant, while frequently the tears rolled over his cheeks."
surprise,"""Ho! ho!"" said the old goblin, ""is that what she means?"
joy,"So she took him by the wrist, and he laughed till he nearly choked; and when she came to the fourth finger, there was a gold ring on it, as if it knew there was to be a betrothal."
joy,How merry we shall be!
joy,"But the lizards continued to run up and down the riven tree; and one said to the other, ""Oh, how much I was pleased with the old goblin!"""
sadness,"And then they kissed each other, and the girl wept, and gave him a rose; but before she did so, she pressed a kiss upon it so fervently that the flower opened."
sadness,"Oh, what bitter tears she shed! and she could not open her heart to any one for relief."
sadness,"Oh, how she wept and prayed that she also might die!"
sadness,"Every morning he flew to the window of the poor girl, and always found her weeping by the flower pot."
sadness,"The bitter tears fell upon the jasmine twig, and each day, as she became paler and paler, the sprig appeared to grow greener and fresher."
surprise,"""Heaven preserve us!"" he thought, and opened his eyes wide, ""I cannot see anything at all,"" but he did not say so."
joy,"""We are pleased to hear that,"" said the two weavers, and described to him the colours and explained the curious pattern."
surprise,"""Good heavens! listen to the voice of an innocent child,"" said the father, and one whispered to the other what the child had said."
sadness,"FAR down in the forest, where the warm sun and the fresh air made a sweet resting-place, grew a pretty little fir-tree; and yet it was not happy, it wished so much to be tall like its companions- the pines and firs which grew around it."
sadness,"As the axe cut through the stem, and divided the pith, the tree fell with a groan to the earth, conscious of pain and faintness, and forgetting all its anticipations of happiness, in sorrow at leaving its home in the forest."
fear,How the fir-tree trembled!
joy,"It trembled so with joy in all its branches, that one of the candles fell among the green leaves and burnt some of them."
surprise,"""Help! help!"" exclaimed the young ladies, but there was no danger, for they quickly extinguished the fire."
joy,"For a moment the little ones stood silent with astonishment, and then they shouted for joy, till the room rang, and they danced merrily round the tree, while one present after another was taken from it."
joy,"And then the tree related the whole story; he could remember every single word, and the little mice was so delighted with it, that they were ready to jump to the top of the tree."
joy,"""Now life is beginning again,"" said the tree, rejoicing in the sunshine and fresh air."
sadness,"The pieces were placed in a fire under the copper, and they quickly blazed up brightly, while the tree sighed so deeply that each sigh was like a pistol-shot."
joy,"How fortunate I am; it makes me so happy, it is such a pleasant thing to know that something can be made of me."
joy,"How the sunshine cheers me, and how sweet and refreshing is the rain; my happiness overpowers me, no one in the world can feel happier than I am."""
joy,"I am the happiest of all creatures."""
surprise,"Well, one day some people came, who took hold of the flax, and pulled it up by the roots; this was painful; then it was laid in water as if they intended to drown it; and, after that, placed near a fire as if it were to be roasted; all this was very shocking."
joy,"""Well, this is quite wonderful; I could not have believed that I should be so favored by fortune."
joy,"How wonderful it is, that after all I have suffered, I am made something of at last; I am the luckiest person in the world- so strong and fine; and how white, and what a length!"
joy,"I cannot be happier than I am now."""
joy,This was my destiny; it is quite a blessing.
joy,"Now I shall be of some use in the world, as everyone ought to be; it is the only way to be happy."
joy,"I am happier than ever."""
surprise,"""Ugh,"" cried the paper, as it burst into a bright flame; ""ugh."""
joy,"Whenever the sun shone, we felt his warm rays, and the little birds would relate stories to us as they sung."
joy,"""'That is quite true,' said the water-bucket; and he made a spring with joy, and splashed some water on the floor."
joy,"""The plates rattled with pleasure, and the carpet-broom brought some green parsley out of the dust-hole and crowned the saucepan, for he knew it would vex the others; and he thought, 'If I crown him to-day he will crown me to-morrow.'"
joy,"The street boys stood on tiptoe and shouted ""hurrah,"" and whistled between their fingers; altogether it was a very splendid affair."
sadness,"I saw my poor dead father, and cried till I fell asleep."
sadness,"""Sorry!"" he exclaimed, and his voice was troubled with a grief as deep as my own."
joy,"""My golden treasure, my riches, my sunshine!"" said the mother; and she kissed the shining locks, and it sounded like music and song in the room of the drummer; and there was joy, and life, and movement."
sadness,"She folded her hands, and hid her face in the cotton curtains of the bed, and wept."
joy,They laughed and they wept; and Peter embraced the old Fire-drum.
surprise,"""Good Heaven! what's the matter with you?"" asked his mother."
sadness,"""Nothing, nothing; only leave me to myself,"" he answered but the tears were running down his cheeks."
sadness,"""My sweet child, my golden treasure!"" cried the mother, and she wept; but the Fire-drum sang, not out loud, but inwardly."
joy,"His eyes were as clear and his face was as radiant as sunshine; and he held his mother in his arms, and she kissed his mouth, and wept as blissfully as any one can weep for joy; and he nodded at every old piece of furniture in the room, at the cupboard with the tea-cups, and at the flower-vase."
surprise,The counsellor stared with astonishment as he beheld a most strange procession pass before him.
surprise,"""Good gracious!"" he exclaimed; ""what in the world has happened to the bishop? what can he be thinking about?"""
surprise,"""Goodness me! where am I?"" said he."
surprise,It bewildered him as he thought of it.
joy,"""Yes, this is East Street; how beautifully bright and gay it looks!"
surprise,"It is quite shocking that one glass of punch should have upset me like this."""
sadness,"The lieutenant felt this very keenly, and therefore leaned his head against the window-frame, and sighed deeply."
surprise,"""There goes one!"" cried he."
fear,"He declared, when he quite recovered himself, that this had been the most dreadful night he had ever passed; not for a hundred pounds would he go through such feelings again."
surprise,"He started back, quite bewildered with the fright which the goloshes of Fortune had caused him."
surprise,"""Good gracious!"" he sighed, ""I must have a tendency to softening of the brain, and here it is so exceedingly hot that the blood is rushing to my head."""
joy,"It is overpowering, and yet it is delightful."""
joy,"As the clerk thought of all these things, and became conscious of the great change in his own feelings, he smiled, and said to himself, ""I must be asleep and dreaming; and yet, if so, how wonderful for a dream to be so natural and real, and to know at the same time too that it is but a dream."
fear,"The canary-bird fluttered in his cage, and the parrot flapped his wings and cried, ""Let us be men;"" the poor clerk, in the most deadly terror, flew through the window, over the houses, and through the streets, till at length he was obliged to seek a resting-place."
surprise,"""Heaven preserve us!"" said he; ""How did I get up here and fall asleep in this way?"
surprise,"""Dead!"" cried the laundress, turning pale as death."
surprise,"""Is he dead?"" she exclaimed."
sadness,"Oh, my poor child,"" and she burst into tears."
sadness,"And he, poor boy, wept also, as he sat alone by the river, near to and watching the damp linen."
sadness,"I kissed her hand, and wept bitter tears, and I wept still more when I went to my room, and threw myself on the bed."
sadness,"""Oh, my poor mother!"" he cried, while the tears rolled down his cheeks."
joy,"She has a hymn-book with large silver clasps, in which she often reads; and in the book, between the leaves, lies a rose, quite flat and dry; it is not so pretty as the roses which are standing in the glass, and yet she smiles at it most pleasantly, and tears even come into her eyes."
joy,"At her side sits a young man, tall and strong; he gives her a rose and she smiles."
joy,"She smiled once more, and then people said she was dead."
sadness,"She had not a button- that she knew right well, and therefore she remained standing sorrowfully outside, till all the others had seen the grave and had gone away; then she sat down, held her little brown hands before her eyes, and burst into tears; this girl alone had not seen Puggie's grave."
sadness,It was a grief as great to her as any grown person can experience.
joy,"They lived quite retired and very happily; and as they had no children of their own, they had adopted a little common snail, which they brought up as their own child."
joy,"I am very glad we have such good houses, and that the little one has one of his own."
joy,"""There can be nothing better than we have here,"" said the father-snail; ""I wish for nothing more."""
joy,He will be the joy of our home; and we old folks have nothing else to live for.
joy,"And the rain fell upon the burdock-leaves, to play the drum for them, and the sun shone to paint colors on the burdock forest for them, and they were very happy; the whole family were entirely and perfectly happy."
joy,"With pious gratitude the girl looked upon this glorious work of God, and bent down over one of the branches, that she might examine the flower and inhale the sweet perfume."
joy,"Then a light broke in on her mind, and her heart expanded."
sadness,"The poor swineherd took these words to heart, for they were addressed to him; he knew not that there were others who were equally ignorant."
sadness,"Then the king, in his melancholy, wandered out to the spot in the wood."
joy,"And the old grandfather nodded again; and the more he looked at Holger Danske, the more satisfied he felt that he had carved a good image of him."
sadness,"The old grandfather wiped his eyes, for he had known King Frederick, with his silvery locks and his honest blue eyes, and had lived for him, and he folded his hands and remained for some time silent."
sadness,"They ran on a little farther, and then Christina fell down, and began to cry."
fear,"Presently the scream of an eagle sounded through the wood; it was an ugly cry, and it frightened the children; but before them, in the thickest part of the forest, grew the most beautiful blackberries, in wonderful quantities."
fear,"So they went on, but the road led them out of the way; no house could be seen, it grew dark, and the children were afraid."
sadness,"At last they both lost themselves in the thicket; Christina began to cry, and then Ib cried too; and, after weeping and lamenting for some time, they stretched themselves down on the dry leaves and fell asleep."
surprise,"Great quantities of fish could be seen through the clear water, sparkling in the sun's rays; they were quite surprised when they came so suddenly upon such an unexpected sight."
joy,"He could not utter a word; he could only seize her hand and hold it fast in his own, but he felt too happy and glad to open his lips."
joy,"His eyes brightened, and the words he uttered came with hesitation from his lips, but from the deepest recesses of his heart: ""Christina, if you have not become too grand, and if you can be contented to live in my mother's house as my wife, we will be married some day."
joy,"I can trust you, for I believe that I do love you."
sadness,"At first Ib said not a word, but he became as white as the wall, and shook his head gently, and then he spoke,- ""Christina must not refuse this good fortune."""
sadness,"Very little was said about the matter to Ib, and he did not refer to it; his mother, however, noticed that he had grown very silent and pensive."
sadness,"At last a very little girl came out of one of the wretched-looking houses, and Ib asked her to tell him the way to the street he wanted; she looked up timidly at him, and began to cry bitterly."
sadness,"Her youngest child, looked for in the midst of prosperity, had sunk into the grave when only a few weeks old; and at last Christina herself became sick unto death, and lay, forsaken and dying, in a miserable room, amid poverty she might have borne in her younger days, but which was now more painful to her from the luxuries to which she had lately been accustomed."
sadness,"It makes me unhappy to think that I shall die, and leave this poor child,"" sighed she."
sadness,"And then he sang his own melancholy song, and from that we have gathered this story, which they say is not true, though it's in print."
joy,"""Everything around me is so wonderfully bright and warm, and beautiful, that it makes me joyous."""
joy,"You may have thousands of my days, but I have thousands of moments in which I can be merry and happy."
joy,"And the little creature danced and floated in the air, rejoicing in her delicate wings of gauze and velvet, rejoicing in the balmy breezes, laden with the fragrance of clover-fields and wild roses, elder-blossoms and honeysuckle, from the garden hedges, wild thyme, primroses, and mint, and the scent of all these was so strong that the perfume almost intoxicated the little fly."
joy,"The long and beautiful day had been so full of joy and sweet delights, that when the sun sank low it felt tired of all its happiness and enjoyment."
joy,The same thing was continued through many generations of Ephemera; all of them felt equally merry and equally happy.
joy,"Once, but long years had intervened since then, guitars and Eolian harps had been hung on his boughs by merry travellers; now they seemed to hang there again, and he could hear their marvellous tones."
joy,"Then it seemed as if new life was thrilling through every fibre of root and stem and leaf, rising even to the highest branches."
joy,"As he grew higher and still higher, with increased strength, his topmost boughs became broader and fuller; and in proportion to his growth, so was his self-satisfaction increased, and with it arose a joyous longing to grow higher and higher, to reach even to the warm, bright sun itself."
sadness,"The grand, majestic oak could not be quite happy in the midst of his enjoyment, while all the rest, both great and small, were not with him."
joy,At length his longing was satisfied.
joy,"May beetles hummed, the bees murmured, the birds sang, each in his own way; the air was filled with the sounds of song and gladness."""
joy,"""Why this is beautiful, too beautiful to be believed,"" said the oak in a joyful tone."
joy,"Can such happiness be imagined?"""
joy,"Thus sounded the old Christmas carol, and every one on board the ship felt his thoughts elevated, through the song and the prayer, even as the old tree had felt lifted up in its last, its beautiful dream on that Christmas morn."
sadness,"Tears of sorrow rolled down their cheeks, and fell in heavy drops on the floor, but not a word was spoken."
sadness,"With silent steps, still sobbing, they left the room."
joy,"They looked at Little Claus ploughing with his five horses, and he was so proud that he smacked his whip, and said, ""Gee-up, my five horses."""
joy,"""I promise you I will not say it any more,"" said the other; but as soon as people came by, nodding to him, and wishing him ""Good day,"" he became so pleased, and thought how grand it looked to have five horses ploughing in his field, that he cried out again, ""Gee-up, all my horses!"""
sadness,"""Oh, now I have no horse at all, said Little Claus, weeping."
fear,"When she heard the farmer coming she was frightened, and begged the sexton to hide himself in a large empty chest that stood in the room."
joy,"So the woman was obliged to bring out the wine also, which she had hidden, and the farmer drank it till he became quite merry."
joy,"""I should like to see him now, while I am so merry."""
fear,"""Will you come and help me hold it?"" said the farmer, going towards the chest in which his wife had hidden the sexton, who now lay inside, very much frightened."
sadness,"She had been cross, unkind, and really spiteful to him; but he was very sorry, and took the dead woman and laid her in his warm bed to see if he could bring her to life again."
fear,"Great Claus got so frightened that he rushed out of the surgery, jumped into the cart, whipped up his horses, and drove home quickly."
sadness,"""And I, poor fellow,"" said the drover, ""I who am so old already, cannot get there."""
joy,"""Yes, if I only knew a fresh one,"" said the old man, and nodded smilingly."
joy,"He was an old, old sailor, and she his old wife; they had already great-grandchildren, and were soon to celebrate their golden wedding, but they could not remember the date, and the elder-tree mother was sitting in the tree and looked as pleased as this one here."
joy,"I tore it open and read it; I cried and laughed at the same time, and was so happy!"
joy,"The elder-tree smelt strongly, and the setting sun illuminated the faces of the two old people, so that they looked quite rosy; the youngest of the grandchildren danced round them, and cried merrily that there would be a feast in the evening, for they were to have hot potatoes; and the elder mother nodded in the tree and cried 'Hooray' with the others."""
joy,"She and the boy kissed each other, and then they were of the same age and felt the same joys."
joy,"""You must know that as soon as the king and all the court are gone into the town, the flowers run out of the garden into the castle, and you should see how merry they are."
joy,"It was saying, 'You are so pretty, I like you very much.'"
joy,"""Oh how funny!"" said Ida, and she laughed."
joy,"They did not look ill at all now, but jumped about and were very merry, yet none of them noticed little Ida."
joy,"This was very amusing, and Ida could not help laughing."
surprise,"Then Sophy raised himself, and looked round quite astonished, ""There must be a ball here to-night,"" said Sophy."
joy,"Then Sophy was very happy, and said they might keep her bed; she did not mind lying in the drawer at all."
sadness,"Shivering with cold and hunger, she crept along; poor little child, she looked the picture of misery."
joy,"She took the little girl in her arms, and they both flew upwards in brightness and joy far above the earth, where there was neither cold nor hunger nor pain, for they were with God."
joy,"Here she slept at night, but during the day she amused herself on a table, where the woman had placed a plateful of water."
sadness,"The tiny little creature woke very early in the morning, and began to cry bitterly when she found where she was, for she could see nothing but water on every side of the large green leaf, and no way of reaching the land."
sadness,"""Croak, croak, croak,"" was all her son could say for himself; so the toad took up the elegant little bed, and swam away with it, leaving Tiny all alone on the green leaf, where she sat and wept."
sadness,"She could not bear to think of living with the old toad, and having her ugly son for a husband."
sadness,"As soon as they caught sight of her, they saw she was very pretty, and it made them very sorry to think that she must go and live with the ugly toads."
joy,"Tiny pleased him, and she was glad of it, for now the toad could not possibly reach her, and the country through which she sailed was beautiful, and the sun shone upon the water, till it glittered like liquid gold."
fear,"Oh, how frightened little Tiny felt when the cockchafer flew with her to the tree!"
sadness,"Then he flew down with her from the tree, and placed her on a daisy, and she wept at the thought that she was so ugly that even the cockchafers would have nothing to say to her."
sadness,"She felt dreadfully cold, for her clothes were torn, and she was herself so frail and delicate, that poor little Tiny was nearly frozen to death."
joy,"She was very pleased with Tiny, so she said, ""You are quite welcome to stay with me all the winter, if you like; but you must keep my rooms clean and neat, and tell me stories, for I shall like to hear them very much."""
joy,"And Tiny did all the field-mouse asked her, and found herself very comfortable."
sadness,"It made little Tiny very sad to see it, she did so love the little birds; all the summer they had sung and twittered for her so beautifully."
surprise,"Then she laid her head on the bird's breast, but she was alarmed immediately, for it seemed as if something inside the bird went ""thump, thump."""
fear,"Tiny trembled very much; she was quite frightened, for the bird was large, a great deal larger than herself,- she was only an inch high."
joy,"The whole winter the swallow remained underground, and Tiny nursed him with care and love."
sadness,"Tiny looked after him, and the tears rose in her eyes."
sadness,"""Tweet, tweet,"" sang the bird, as he flew out into the green woods, and Tiny felt very sad."
sadness,But Tiny was not at all pleased; for she did not like the tiresome mole.
sadness,"Then Tiny wept, and said she would not marry the disagreeable mole."
sadness,"The poor child was very unhappy at the thought of saying farewell to the beautiful sun, and as the field-mouse had given her permission to stand at the door, she went to look at it once more."
joy,"As soon as he spied Tiny, he was delighted; and then she told him how unwilling she felt to marry the ugly mole, and to live always beneath the earth, and never to see the bright sun any more."
sadness,And as she told him she wept.
joy,"""That will be delightful,"" she said, and clapped her little hands for joy."
joy,"The little prince was at first quite frightened at the bird, who was like a giant, compared to such a delicate little creature as himself; but when he saw Tiny, he was delighted, and thought her the prettiest little maiden he had ever seen."
joy,"But I am fragrant with perfume, for close to my gates most lovely roses bloom."""
joy,"The old washerwoman put her head in at the door, and nodded to him quite kindly, and said, ""Many thanks, you good child, for your help yesterday."
joy,"""I know where it blooms,"" said a happy mother, who came with her lovely child to the bedside of the queen."
sadness,"She wept over it, kissed it, and prayed for it as only a mother can pray in that hour of her anguish."""
sadness,"Tears stood in his eyes, and glistened on his cheeks; he carried a great book and the binding was of velvet, with silver clasps."
joy,He seemed a merry fellow.
joy,"He looked very jovial, did little work, and had the more holidays."
joy,"How pretty she was! and such a singer! not a theatre singer, nor a ballad singer; no, but a singer of the woods; for she wandered through the gay green forest, and had a concert there for her own amusement."
sadness,"He was hungry and thirsty, yet no one gave him anything; and when it became dark, and they were about to close the gardens, the porter turned him out."
joy,The little boy said not a word; he was half pleased and half afraid.
joy,"One glory eclipsed another; yet there was one picture that fixed itself on the little boy's memory, more especially because of the happy children it represented, for these the little boy had seen in daylight."
joy,"The boy raised his hands towards the smiling children, and then the Pig ran off with him through the open vestibule."
fear,"Fear and trembling came upon him as he thought of his mother; she had sent him out the day before to get some money, he had not done so, and now he was hungry and thirsty."
sadness,"Here everything was bright, and the boy knelt down by the first tomb on his right, the grave of Michael Angelo, and sobbed as if his heart would break."
sadness,"Hunger and thirst overpowered the child, and he became quite faint and ill."
joy,"A little homely bed was prepared for him, but to him who had so often slept on the hard stones it was a royal couch, and he slept sweetly and dreamed of the splendid pictures and of the Metal Pig."
sadness,"He wept at the thought, and then he played with the little, lively dog, and kissed it, while the old woman looked kindly at him to encourage him."
joy,"So the boy stayed with them, and the woman herself taught him to sew; and he ate well, and slept well, and became very merry."
joy,"They stopped before the picture by Bronzino, in which Christ is represented as standing in the lower world, with the children smiling before Him, in the sweet expectation of entering heaven; and the poor boy smiled, too, for here was his heaven."
fear,A fiery dragon could not have frightened the little boy so much as did the little dog in this place.
sadness,"Giuseppe went off at once, while his wife lamented, and the boy wept."
joy,"Then there was great rejoicing, and the painter caressed the boy, and gave him a number of pictures."
joy,"Certainly it was rather crooked, rather up and down, one leg thick, and another thin; still it was like the copy, and he was overjoyed at what he had done."
joy,"He knew very well that he had enough inside him to buy up all the other toys, and this gave him a very good opinion of his own value."
joy,"The doll, whose neck had been darned, was so excited that the place in her neck burst, and the money-pig declared he must do something for one of the players, as they had all pleased him so much."
joy,"The sun shone among the delicate leaves; everything breathed forth the loveliest fragrance, and all felt as we do when we are filled with joy at the thought of our happiness."
joy,"""We make it lively about the house,"" said the sparrow-mother; ""and people say that a swallows' nest brings luck; so they are glad of us."
joy,"But they were very pleased with it, and wondered whether all the little sparrows could become nightingales."
fear,The horse-hair was drawn tightly round her leg- as tightly as if the latter were to be cut off; she was in great pain and terror.
joy,"He was a merry old man, always wandering about."
fear,At these words an icy shudder ran through the sparrow-mother.
fear,"But she, trembling in every limb, did not think of the adornment."
fear,"""Now you will see the gold-jacket fly,"" said the old man, letting the sparrow go, which flew away in deadly fear, with the sun shining upon her."
surprise,"All the sparrows, and even a crow- and an old boy he was too- were startled at the sight; but still they flew after her to learn what kind of strange bird she was."
